code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2637E0033583H,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,658.9514,658.9514,0,1538.042,1538.0420000000001,0,325.81536938564284,325.81536593406594,0,294.2541,294.2541,0,14.9565,14.9565,0,2400.1142742956586,2400.111442054539,0,419.87029429565825,419.86746205453875,0,1774.1394000000005,1774.1394000000005,0,2859.952242,2859.952242,0,75438.89925876983,75438.89925876983,0,189730.7230613151,189730.673518199,0,3281.102637381063,3281.102637381062,0,6123.637816598674,6092.130335931573,0.51,142.964598841234,89.48128006510284,37.41,6.424496731666328,0,100,6.7562142430645755,7.036776671563805,4.15,2.3973301690277005,2.3973301690277005,0,285.78186,285.78185999999994,0,10616.871185271222,10472.071923753454,1.36,105,104,0.95,2176.67394500564,2165.7056026971327,0.5,21,21,0,OK
2606E0016503E,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,52,chaudière gaz basse température 2001-2015,,,92,chaudière gaz basse température 2001-2015,,,88.40918091809166,88.4091809180918,0,152.064,152.064,0,84.512,84.512,0,41.1851851851852,41.18518518518518,0,22.04,22.04,0,276.5134937380801,276.5134937380801,0,89.1080777380801,89.1080777380801,0,401.75500000000005,401.75500000000005,0,418.460592,418.460592,0,7979.179655012498,7979.179655012498,0,20994.096206046223,20995.622302089643,0.01,1580.1177096767356,1195.2090809642596,24.36,3642.029470854799,27833.114747412976,664.22,118.63749741578872,56.4582648016996,52.41,0,0,0,5.930671465169774,5.9311025756195415,0.01,2.3112032088415932,2.3112032088415932,0,240.49136352000002,240.49136352000002,0,6093.677747510154,29781.714672498943,388.73,126,618,390.48,1215.2408768928854,6615.263532657627,444.36,25,137,448,KO
2678E0040774L,13,2.6,4.1.1,,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,335.197975,335.19797500000004,0,313.152,313.152,0,69.1095202,69.10861266666667,0,60.06,60.06,0,0.46125,0.4612500000000001,0,1143.11802440386,1143.1180244038644,0,97.5626724038643,97.56267240386424,0,1627.44,1836.1799999999998,12.83,750.048864,750.0488640000001,0,1235.44836195375,57566.51723357325,4559.56,1344.04593504688,124564.28069249314,9167.86,2728.64867311112,2728.648673111126,0,3568.3279084957,3901.0739355856635,9.32,84.028509197317,3434.243595231181,3987,6.21727702169385,0,100,4.8188744438271,5.294899823071585,9.88,2.10139850510682,2.1013985051068236,0,171.272891171265,171.27289117126435,0,7033.49494691335,13720.741269684975,95.08,111,217,95.5,1454.8187241061,1744.3984090969311,19.9,23,27,17.39,KO
2622E0001508B,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,280.87130256410245,280.87130256410256,0,378.246,378.246,0,88.3637247255,88.36372307692305,0,138.5397,138.5397,0,0,0,0,1124.0903497038305,1124.0903497038305,0,120.43074970383053,120.43074970383053,0,590.9048645239855,590.9048643399998,0,626.034816,626.034816,0,31521.2785536852,31521.2785536852,0,76803.63047251877,76815.52565602952,0.02,1967.7355336169378,1530.1464887496172,22.24,4863.141404991592,103438.59503299155,2026.99,176.64610376272682,77.37312362798386,56.2,0,0,0,7.53890907352293,7.540076683782352,0.02,3.1590951800170703,3.1590951800170703,0,481.799124,261.84735,45.65,8388.487689439437,105919.82745817555,1162.68,105,1328,1164.76,1603.8292130131774,23860.69416384672,1387.73,20,299,1395,KO
2314E3579676M,33,2.3,DPEWIN V5.1.7,3cl_tribu_1.4.25.1,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,499.852,499.8516071428571,0,838.364,838.36384,0,279.24,279.2398608695652,0,1433.597,1433.5974999999999,0,0,0,0,1228.973,1228.9726052000215,0,282.413,282.4126052000214,0,825.034,825.034,0,1571.721,1571.7205686400002,0,38419.16,38419.16559129601,0,211304.9,211312.701752513,0,1587.9,1587.8712385620545,0,8198,8856.259920003109,8.03,0,225.04000561577737,100,0,0,0,0,0.502142813409292,100,0,0.09129554323452505,100,101.7,10.955475,89.23,11282.3,11240.411672201733,0.37,194,193,0.52,2263.6,2393.5232438085272,5.74,39,41,5.13,KO
2414E1851678B,34,2.3,DPEWIN V5.1.11,3cl_tribu_1.4.25.1,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,515.47,515.47,0,157.235,157.23449999999997,0,50.835,50.83538461538461,0,112.575,112.57499999999999,0,0,0,0,755.007,754.9903962164859,0,84.758,84.75835201759097,0,243.978,250.72799999999998,2.77,460.996,460.99615500000004,0,24679.71,24679.705268399997,0,67699.32,68066.6819275951,0.54,1869.2,1805.991843689424,3.38,2660.9,3187.9177126864615,19.81,0,173.76,100,0,0,0,0,0.1681922181669158,100,0,1.684707195064608,100,0,0,0,4751.8,5536.9232250263185,16.52,148,173,16.89,1034.8,1149.0298148597728,11.04,32,35,9.38,KO
2622E0059433Y,10,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,56,chaudière gaz à condensation 2001-2015,,,96,chaudière gaz à condensation 2001-2015,,,1105.414675,1105.414675,0,1420.298,1420.2980000000002,0,231.6284779158,231.62847789473685,0,561.7532,561.7532000000001,0,65.5445,65.5445,0,2123.999815247378,2123.999815247378,0,223.9446652473781,223.9446652473781,0,2419.2665,2419.2665,0,2531.837792,2531.837792,0,66741.22742896875,66741.22742896875,0,277168.7336008545,277202.43339049706,0.01,1598.4882243303462,1159.7403942252831,27.45,6007.408308670238,376188.6906972961,6162.08,165.46587793799307,70.06889142141155,57.65,0,0,0,9.409645535186018,9.410789614718464,0.01,2.410180000201435,2.4101800002014344,0,327.29660376,327.29660376,0,8712.659846744007,378273.94230463443,4241.66,211,9174,4247.87,1764.208584954069,85689.65859582231,4757.12,42,2078,4847.62,KO
2314E0661546S,34,2.2,3.0.8,3cl_tribu_1.4.25.1,119,réseau de chaleur non répertorié ou inconnu,,,142,réseau de chaleur non répertorié ou inconnu,,,453.328,453.3279166666667,0,328.454,328.45399999999995,0,105.199,110.63847154471544,5.17,740,740,0,64.124,64.124,0,816.754,816.7191496128603,0,165.994,166.001446263578,0,190.402,190.402,0,505.184,505.183712,0,20804.27,20804.27144376,0,111716.5,112028.12353168504,0.28,3478.2,2898.7284878305604,16.66,11311.3,11340.744062290098,0.26,0,198.92636050524436,100,0,0,0,0,0,0,0,0,0,154.3,36.685639584,76.22,16584.9,15129.14015032592,8.78,207,189,8.7,3407.9,5507.7088998021645,61.62,42,68,61.9,KO
2675E0024535T,13,2.6,LICIEL Diagnostics v4 [Version XML:319],BBS_Slama_2025.11.1.0,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,10808.135000000002,10808.134999999998,0,24.777,24.777,0,9.82192,9.82192,0,112,112.00000000000001,0,1.9949999999999999,1.9949999999999997,0,3066.1566823429835,3066.1566823429835,0,1077.5238823429834,1077.5238823429834,0,2340.0062,2340.00620073,0,60.012824,60.012823999999995,0,139490.250615975,139490.250615975,0,805060.4521822371,805060.4594488714,0,1731.9529216783749,1731.9529216783749,0,9428.693161267907,9428.693236565103,0,98.13485208319196,98.13485257266089,0,2.5184934700221744,0,100,0,0,0,0,0,0,118.5228,118.5228,0,11724.311759497388,11719.526698131534,0.04,285,285,0,2050.611670411629,2050.450500564963,0.01,50,50,0,OK
2678E0040567M,13,2.6,4.1.1,,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,335.197975,335.19797500000004,0,313.152,313.152,0,69.1095202,69.10861266666667,0,60.06,60.06,0,0.46125,0.4612500000000001,0,1143.11802440386,1143.1180244038644,0,97.5626724038643,97.56267240386424,0,1627.44,1836.1799999999998,12.83,750.048864,750.0488640000001,0,1167.74284183675,57566.51723357325,4829.73,2072.43490643753,124564.28069249314,5910.53,2579.11221062605,2579.1122106260523,0,3011.04196234196,3291.821160908622,9.32,70.9053017868028,3434.243595231181,4743.42,5.87655539590324,0,100,4.06628357418463,4.467965378323863,9.88,1.98623684951456,1.9862368495145655,0,144.524235314941,144.52423531494154,0,6213.24855408331,12873.9682538052,107.2,116,241,107.76,1290.45635870479,1569.0965056359046,21.59,24,29,20.83,KO
