code,enum_methode_application_dpe_log_id,version_dpe,version_logiciel,version_moteur_calcul,type_generateur_ecs_1_id,type_generateur_ecs_1_label,type_generateur_ecs_2_id,type_generateur_ecs_2_label,type_generateur_ch_1_id,type_generateur_ch_1_label,type_generateur_ch_2_id,type_generateur_ch_2_label,deperdition_mur_input,deperdition_mur_output,deperdition_mur_diff,deperdition_baie_vitree_input,deperdition_baie_vitree_output,deperdition_baie_vitree_diff,deperdition_plancher_bas_input,deperdition_plancher_bas_output,deperdition_plancher_bas_diff,deperdition_plancher_haut_input,deperdition_plancher_haut_output,deperdition_plancher_haut_diff,deperdition_porte_input,deperdition_porte_output,deperdition_porte_diff,deperdition_renouvellement_air_input,deperdition_renouvellement_air_output,deperdition_renouvellement_air_diff,hperm_input,hperm_output,hperm_diff,deperdition_pont_thermique_input,deperdition_pont_thermique_output,deperdition_pont_thermique_diff,surface_sud_equivalente_input,surface_sud_equivalente_output,surface_sud_equivalente_diff,besoin_ecs_input,besoin_ecs_output,besoin_ecs_diff,besoin_ch_input,besoin_ch_output,besoin_ch_diff,conso_ecs_input,conso_ecs_output,conso_ecs_diff,conso_ch_input,conso_ch_output,conso_ch_diff,conso_auxiliaire_distribution_ch_input,conso_auxiliaire_distribution_ch_output,conso_auxiliaire_distribution_ch_diff,conso_auxiliaire_distribution_ecs_input,conso_auxiliaire_distribution_ecs_output,conso_auxiliaire_distribution_ecs_diff,conso_auxiliaire_generation_ch_input,conso_auxiliaire_generation_ch_output,conso_auxiliaire_generation_ch_diff,conso_auxiliaire_generation_ecs_input,conso_auxiliaire_generation_ecs_output,conso_auxiliaire_generation_ecs_diff,conso_auxiliaire_ventilation_input,conso_auxiliaire_ventilation_output,conso_auxiliaire_ventilation_diff,ep_conso_5_usages_input,ep_conso_5_usages_output,ep_conso_5_usages_diff,ep_conso_5_usages_m2_input,ep_conso_5_usages_m2_output,ep_conso_5_usages_m2_diff,emission_ges_5_usages_input,emission_ges_5_usages_output,emission_ges_5_usages_diff,emission_ges_5_usages_m2_input,emission_ges_5_usages_m2_output,emission_ges_5_usages_m2_diff,runFailed
2349E0678356P,7,2.2,LICIEL Diagnostics v4 [Version XML:221],3cl_tribu_1.4.25.1,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,71,ballon électrique à accumulation vertical catégorie c ou 3 étoiles,108,réseau de chaleur isolé,,,597.42,597.4199999999998,0,365.18999999999994,365.19,0,147.148936170213,147.14893617021278,0,145.26,145.26000000000002,0,1.4849999999999999,1.4850000000000003,0,1749.4252993892362,1749.4252993892362,0,192.3952993892362,192.3952993892362,0,634.8553075780088,634.85530726,0,674.206368,674.2063680000001,0,58219.0911034628,58219.0911034628,0,89892.21845117352,97874.68964712026,8.88,84678.80239801176,8640.694122246097,89.8,128277.28338542748,139668.36589633205,8.88,3461.5199937837306,3461.520150240033,0,0,0,0,0,0,0,0,0,0,18453.5532,18453.553200000002,0,386988.8636605571,223492.29749705017,42.25,126,73,42.06,20012.507887850243,16616.753126207226,16.97,6,5,16.67,KO
2362E3929417X,9,2.3,4.1.1,3cl_tribu_1.4.25.1,57,chaudière gaz à condensation après 2015,,,97,chaudière gaz à condensation après 2015,,,142.70796131,142.70796131,0,276.166848857143,276.1668488571429,0,40.7511693,40.751864,0,30.24,30.240000000000002,0,1.5,1.5,0,345.914641239594,345.9146412395941,0,51.0349532395941,51.034953239594124,0,68.608,68.608,0,399.22476069,399.22476075085706,0,12826.9102181594,12826.91021815938,0,25378.0680030221,25378.101192636077,0,19530.1031355313,19530.103135531335,0,32046.9286703778,32015.405915816882,0.1,730.776860778899,730.7772284201195,0,0,0,0,55.1066619494195,55.106734018295484,0,27.8527193308604,27.852719330860367,0,1899.372108,1899.3721079999998,0,60857.6032210453,60826.08147781754,0.05,87,86,1.15,11974.2416,11965.68218350128,0.07,17,17,0,OK
2345E2764276D,9,2.3,4.1.1,3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,3789.7974,3789.7974,0,2718.98,2718.980000000001,0,3080,3080,0,308,308.00000000000006,0,62.37,62.37000000000001,0,5693.82695470821,5693.826954708211,0,1679.31095470821,1679.3109547082113,0,3712.04,3712.0399999999986,0,4048.12152,4048.1215200000006,0,151762.471086716,151762.47108671596,0,784710.897250656,784710.9200834683,0,203162.611896541,203162.6118965408,0,1019601.0766693,1019601.1044881896,0,19225.7969847722,19225.797253228247,0,0,0,0,0,0,0,0,0,0,25858.206,25858.206000000002,0,1363915.06688082,1363915.0953171554,0,152,152,0,136053.45,136067.60272125748,0.01,15,15,0,OK
2392E3451434C,9,2.3,4.1.1,3cl_tribu_1.4.25.1,76,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,111,chaudière(s) gaz multi bâtiment modélisée comme un réseau de chaleur,,,353.5217,353.52169999999995,0,96.69387,96.69387,0,113.992,113.99200000000002,0,38.6288,38.628800000000005,0,92.8000030517578,92.8,0,228.232238002973,228.2322380029728,0,136.193728002973,136.1937280029728,0,151.248,151.248,0,169.41379152,169.41379152000002,0,7835.35636177875,7835.35636177875,0,48825.7641312823,48825.72684598093,0,12586.917850247,10489.098208539159,16.67,62782.8144820851,62782.77247486711,0,627.664843683626,627.6645950503428,0,0,0,0,0,0,0,0,0,0,592.836285,592.836285,0,79256.4623783044,77158.60015752206,2.65,319,310,2.82,17220.589,16743.214024956444,2.77,69,67,2.9,KO
2178E1047942M,9,2.3,0.2.7.1,3CL_BBSSlama_1.1.0.0,49,chaudière gaz standard 2001-2015,,,89,chaudière gaz standard 2001-2015,,,587.465404382396,587.4654043823962,0,1958.12036944828,268.0262967943668,86.31,0,0,0,104.489795918367,104.48979591836734,0,0,0,0,1366.44799826549,1305.1586126689378,4.49,171.517998265491,110.22861266893779,35.73,671.91199177742,483.4119960832597,28.05,1362.87490975314,229.07509208962955,83.19,48983.977885038,48983.977885037995,0,167425.648640049,87692.49687082818,47.62,104096.101387128,121968.68528465203,17.17,232931.130726444,154689.9819146758,33.59,2368.89474774657,1033.4010053817271,56.38,267.877273843691,267.87727384369094,0,187.948454034679,144.6926198368665,23.01,67.2129426281187,80.8235635103127,20.25,14162.0292,14162.0292,0,386436.367135554,322927.9826232448,16.43,164,137,16.46,77902.185927349,64111.15279865206,17.7,33,27,18.18,KO
2359E2060872R,9,2.2,LICIEL Diagnostics v4 [Version XML:256],3cl_tribu_1.4.25.1,119,réseau de chaleur non répertorié ou inconnu,,,108,réseau de chaleur isolé,,,406.28,406.28,0,835.4580000000001,835.4580000000001,0,73.49199924,73.492,0,61.56,61.56,0,20.3,20.3,0,559.2408690983918,559.2408690983918,0,94.12086909839178,94.12086909839178,0,274.74649999999986,274.74649999999986,0,1034.399065,1034.399065,0,19099.604268192004,19099.604268192004,0,76371.04758273966,76371.07413564109,0,48973.344277415374,40811.1202311795,16.67,100769.27657179581,100769.3093929371,0,950.7840608059474,950.7842048462563,0,196.21908895925947,196.21908895925944,0,0,0,0,0,0,0,5512.492800000002,5512.492800000001,0,169023.92553367116,160861.7346398693,4.83,185,176,4.86,26050.651461328413,22908.19737894151,12.06,28,25,10.71,KO
2595E0710550R,7,2.4,LICIEL Diagnostics v4 [Version XML:309],3cl_tribu_2024.6.1.0,66,chauffe-eau gaz à production instantanée 2001-2015,66,chauffe-eau gaz à production instantanée 2001-2015,108,réseau de chaleur isolé,,,1008.6153846153845,1008.6153846153848,0,1266.298,1266.2980000000002,0,224.636,224.636,0,128.775510204082,128.77551020408163,0,55.86,55.86000000000001,0,2215.3728457547395,2215.3728457547395,0,971.0408457547396,971.0408457547396,0,810.3504000000001,810.3504,0,2197.994472,2197.994472,0,61782.72901773,61782.72901773,0,195064.64074924725,195068.0649261506,0,109230.88261867815,109230.88261867814,0,266023.7520387112,266028.4208136974,0,3217.638598455556,3217.638710763638,0,0,0,0,0,0,0,0,0,0,8014.961999999998,8014.9619999999995,0,414804.4010338372,414809.0700671319,0,131,131,0,42419.21296914119,45345.81506932873,6.9,13,14,7.69,KO
2394E3801190I,9,2.3,LICIEL Diagnostics v4 [Version XML:268],3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,908.4599999999999,908.4599999999999,0,1535.1119999999999,1535.1119999999999,0,169.52,169.52,0,156,156,0,0,0,0,2441.793141887761,2421.224288564977,0.84,242.16994188776127,221.6010885649773,8.49,258.12,258.12,0,2611.59408,2611.59408,0,65075.21118344401,65075.21118344401,0,180800.98210637167,179751.23585799648,0.58,278099.193091641,278099.19309164106,0,253881.60241816717,252472.9815363801,0.55,9209.279999999999,4463.192016092101,51.54,304.8821515318005,304.8821515318005,0,0,0,0,0,0,0,26069.416607999992,26069.416608,0,628098.5746567312,615773.9514119561,1.96,191,187,2.09,104313.9474229834,103741.15120359197,0.55,31,31,0,OK
2577E0080617U,7,2.4,LICIEL Diagnostics v4 [Version XML:305],3cl_tribu_2024.6.1.0,66,chauffe-eau gaz à production instantanée 2001-2015,,,108,réseau de chaleur isolé,,,614.1075,614.1075,0,1073.2,1073.2,0,150.26666802,150.26666666666665,0,125.55,125.55000000000001,0,17.1,17.099999999999998,0,1466.158149864917,1466.153113132803,0,545.127831864917,545.1227951328029,0,1876.6716000000001,1876.6716000000001,0,2539.3388,2539.3387999999995,0,47991.719533259464,47991.719533259464,0,175696.11436614976,175698.26206284467,0,85421.83844178906,85421.83844178909,0,244862.68576366917,244865.70568720822,0,1865.8692745723274,1865.8677888450381,0,0,0,0,0,0,0,0,0,0,1822.9443808586398,1819.30576932,0.2,348833.4481829494,348828.0958827769,0,150,150,0,28009.249607534784,33641.02752959235,20.11,12,14,16.67,KO
2377E0611838H,9,2.2,1.27.0,3cl_tribu_1.4.25.1,73,réseau de chaleur isolé,,,108,réseau de chaleur isolé,,,102.9117777212,102.91177772313745,0,253.5005,253.50050000000002,0,24.422986,24.423311341734614,0,58.8517241368,58.851724137931036,0,18.096,18.096,0,382.2507810646,382.25078106453714,0,45.689541064574,45.689541064537096,0,138.2138,138.2138,0,166.52217000000002,166.52215789999997,0,17894.537465786103,17894.537465786103,0,29368.71895024342,29368.736177792274,0,38236.191166209624,38236.191166209624,0,40591.626893302935,40591.65004968647,0,834.7114589243008,834.7116465870804,0,192.9889883686839,192.9889883686839,0,0,0,0,0,0,0,2167.85034,2167.85034,0,89887.09732028641,89887.12090829435,0,105,105,0,15.06,10563.41999396366,70042.23,15,12,20,KO
